price_bin_low,price_bin_high,bin_mid,volume_sum,csi,pct_of_total_volume
21.2894,21.3608,21.3251,109326884.1126,0.1716,0.1421
21.3608,21.4322,21.3965,153676352.4888,0.2413,0.1998
21.4322,21.5036,21.4679,132378473.5947,0.2078,0.1721
21.5036,21.5751,21.5394,107588398.6472,0.1689,0.1399
21.5751,21.6465,21.6108,104542509.4876,0.1641,0.1359
21.6465,21.7179,21.6822,145770241.0354,0.2289,0.1895
21.7179,21.7893,21.7536,71640350.3367,0.1125,0.0931
21.7893,21.8608,21.825,104969990.3533,0.1648,0.1365
21.8608,21.9322,21.8965,98688201.8386,0.1549,0.1283
21.9322,22.0036,21.9679,85092641.8221,0.1336,0.1106
22.0036,22.075,22.0393,67203150.7399,0.1055,0.0874
22.075,22.1464,22.1107,178343253.5224,0.28,0.2319
22.1464,22.2179,22.1821,164003387.4455,0.2575,0.2132
22.2179,22.2893,22.2536,92623172.6188,0.1454,0.1204
22.2893,22.3607,22.325,128307309.8271,0.2014,0.1668
22.3607,22.4321,22.3964,112581924.929,0.1768,0.1464
22.4321,22.5035,22.4678,91989479.2959,0.1444,0.1196
22.5035,22.575,22.5393,71225623.2203,0.1118,0.0926
22.575,22.6464,22.6107,99747279.8525,0.1566,0.1297
22.6464,22.7178,22.6821,90924601.1799,0.1428,0.1182
22.7178,22.7892,22.7535,94931405.5233,0.149,0.1234
22.7892,22.8606,22.8249,87191299.5796,0.1369,0.1134
22.8606,22.9321,22.8964,94572147.0461,0.1485,0.123
22.9321,23.0035,22.9678,140842079.0852,0.2211,0.1831
23.0035,23.0749,23.0392,130761255.1463,0.2053,0.17
23.0749,23.1463,23.1106,115371404.9115,0.1811,0.15
23.1463,23.2178,23.182,104342399.0969,0.1638,0.1357
23.2178,23.2892,23.2535,125227869.8213,0.1966,0.1628
23.2892,23.3606,23.3249,64942239.6424,0.102,0.0844
23.3606,23.432,23.3963,120819058.0706,0.1897,0.1571
23.432,23.5034,23.4677,55564451.0135,0.0872,0.0722
23.5034,23.5749,23.5391,122392937.8852,0.1922,0.1591
23.5749,23.6463,23.6106,94458718.1791,0.1483,0.1228
23.6463,23.7177,23.682,82165720.2464,0.129,0.1068
23.7177,23.7891,23.7534,119045655.7864,0.1869,0.1548
23.7891,23.8605,23.8248,150761197.3148,0.2367,0.196
23.8605,23.932,23.8962,143787831.748,0.2257,0.1869
23.932,24.0034,23.9677,103335903.5926,0.1622,0.1343
24.0034,24.0748,24.0391,145827331.3503,0.2289,0.1896
24.0748,24.1462,24.1105,119777484.3123,0.188,0.1557
24.1462,24.2176,24.1819,107907377.1,0.1694,0.1403
24.2176,24.2891,24.2534,143146381.2372,0.2247,0.1861
24.2891,24.3605,24.3248,133566645.3128,0.2097,0.1736
24.3605,24.4319,24.3962,113528972.7843,0.1782,0.1476
24.4319,24.5033,24.4676,107322529.6937,0.1685,0.1395
24.5033,24.5747,24.539,119699016.0703,0.1879,0.1556
24.5747,24.6462,24.6105,100003239.5151,0.157,0.13
24.6462,24.7176,24.6819,152677422.6368,0.2397,0.1985
24.7176,24.789,24.7533,152869075.1555,0.24,0.1987
24.789,24.8604,24.8247,129875944.8799,0.2039,0.1689
24.8604,24.9318,24.8961,136885061.5281,0.2149,0.178
24.9318,25.0033,24.9676,105264448.1132,0.1653,0.1369
25.0033,25.0747,25.039,105124526.4326,0.165,0.1367
25.0747,25.1461,25.1104,99200530.3365,0.1557,0.129
25.1461,25.2175,25.1818,198674625.26,0.3119,0.2583
25.2175,25.289,25.2532,147231749.9362,0.2312,0.1914
25.289,25.3604,25.3247,112804178.618,0.1771,0.1467
25.3604,25.4318,25.3961,109591350.0804,0.1721,0.1425
25.4318,25.5032,25.4675,155280448.6243,0.2438,0.2019
25.5032,25.5746,25.5389,255078877.0681,0.4005,0.3316
25.5746,25.6461,25.6103,105826770.1206,0.1661,0.1376
25.6461,25.7175,25.6818,214837593.6971,0.3373,0.2793
25.7175,25.7889,25.7532,178938475.768,0.2809,0.2326
25.7889,25.8603,25.8246,168384979.7381,0.2644,0.2189
25.8603,25.9317,25.896,154628063.3586,0.2428,0.201
25.9317,26.0032,25.9675,173194313.6365,0.2719,0.2252
26.0032,26.0746,26.0389,139777763.5193,0.2194,0.1817
26.0746,26.146,26.1103,202968130.3558,0.3187,0.2639
26.146,26.2174,26.1817,197611457.9894,0.3102,0.2569
26.2174,26.2888,26.2531,117855961.7732,0.185,0.1532
26.2888,26.3603,26.3246,136935383.1677,0.215,0.178
26.3603,26.4317,26.396,191290701.6034,0.3003,0.2487
26.4317,26.5031,26.4674,225040470.0881,0.3533,0.2926
26.5031,26.5745,26.5388,212409518.6365,0.3335,0.2762
26.5745,26.646,26.6102,132877073.0153,0.2086,0.1728
26.646,26.7174,26.6817,198332941.5244,0.3114,0.2579
26.7174,26.7888,26.7531,171799440.408,0.2697,0.2234
26.7888,26.8602,26.8245,210155602.4116,0.3299,0.2732
26.8602,26.9316,26.8959,246733202.8297,0.3874,0.3208
26.9316,27.0031,26.9673,129353577.0956,0.2031,0.1682
27.0031,27.0745,27.0388,149607094.3624,0.2349,0.1945
27.0745,27.1459,27.1102,84596922.9708,0.1328,0.11
27.1459,27.2173,27.1816,163430988.6365,0.2566,0.2125
27.2173,27.2887,27.253,129600432.1452,0.2035,0.1685
27.2887,27.3602,27.3244,115744424.4175,0.1817,0.1505
27.3602,27.4316,27.3959,118804036.7147,0.1865,0.1545
27.4316,27.503,27.4673,154161706.7075,0.242,0.2004
27.503,27.5744,27.5387,105470033.1771,0.1656,0.1371
27.5744,27.6458,27.6101,165324739.7476,0.2596,0.2149
27.6458,27.7173,27.6816,82921015.6634,0.1302,0.1078
27.7173,27.7887,27.753,95550725.8156,0.15,0.1242
27.7887,27.8601,27.8244,148274978.8824,0.2328,0.1928
27.8601,27.9315,27.8958,111652772.6921,0.1753,0.1452
27.9315,28.0029,27.9672,115726007.1907,0.1817,0.1505
